sample_id,model_name,model_display_name,benchmark,completeness,efficiency,readability
Mbpp/223,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/224,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/226,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/227,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/230,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/232,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/233,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/234,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/235,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/237,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/238,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/239,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/240,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/242,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/244,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/245,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/247,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/250,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/251,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/252,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/253,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/255,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/256,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/257,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/259,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/260,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/261,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/262,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/264,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/265,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/266,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/267,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/268,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/269,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/270,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/271,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/272,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/273,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/274,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/276,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/277,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/278,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/279,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/280,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/281,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/282,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/283,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/284,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/285,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/286,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/287,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/290,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/292,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/293,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/294,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/296,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/297,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/299,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/3,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/300,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/301,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/305,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/306,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/308,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/309,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/310,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/311,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/312,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/388,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/389,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/390,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/391,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/392,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/394,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/395,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/397,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/398,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/4,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/404,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/405,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/406,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/409,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/410,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/412,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/413,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/414,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/415,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/418,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/419,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/420,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/421,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/422,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/424,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/425,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/426,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/427,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/428,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/429,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/430,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/432,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/433,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/435,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/436,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/437,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/439,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/440,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/441,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/445,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/446,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/447,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/448,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/450,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/451,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/453,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/454,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/455,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/456,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/457,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/458,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/459,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/460,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/462,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/463,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/465,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/468,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/470,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/471,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/472,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/473,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/474,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/475,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/476,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/477,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/478,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/479,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/554,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/555,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/556,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/557,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/558,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/559,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/56,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/560,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/562,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/563,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/564,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/565,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/566,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/567,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/568,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/569,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/57,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/572,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/573,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/576,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/577,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/578,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
Mbpp/579,ChatGPT,ChatGPT 5.2,mbpp_plus,,,
