sample_id,model_name,benchmark,completeness,efficiency,readability
bird_48,DeepSeek-V3.2,bird,,,
bird_49,DeepSeek-V3.2,bird,,,
bird_50,DeepSeek-V3.2,bird,,,
bird_51,DeepSeek-V3.2,bird,,,
bird_52,DeepSeek-V3.2,bird,,,
bird_53,DeepSeek-V3.2,bird,,,
bird_54,DeepSeek-V3.2,bird,,,
bird_55,DeepSeek-V3.2,bird,,,
bird_56,DeepSeek-V3.2,bird,,,
bird_57,DeepSeek-V3.2,bird,,,
bird_58,DeepSeek-V3.2,bird,,,
bird_59,DeepSeek-V3.2,bird,,,
bird_60,DeepSeek-V3.2,bird,,,
bird_61,DeepSeek-V3.2,bird,,,
bird_62,DeepSeek-V3.2,bird,,,
bird_63,DeepSeek-V3.2,bird,,,
bird_64,DeepSeek-V3.2,bird,,,
bird_65,DeepSeek-V3.2,bird,,,
bird_66,DeepSeek-V3.2,bird,,,
bird_67,DeepSeek-V3.2,bird,,,
bird_68,DeepSeek-V3.2,bird,,,
bird_69,DeepSeek-V3.2,bird,,,
bird_70,DeepSeek-V3.2,bird,,,
bird_71,DeepSeek-V3.2,bird,,,
bird_72,DeepSeek-V3.2,bird,,,
bird_73,DeepSeek-V3.2,bird,,,
bird_74,DeepSeek-V3.2,bird,,,
bird_75,DeepSeek-V3.2,bird,,,
bird_76,DeepSeek-V3.2,bird,,,
bird_77,DeepSeek-V3.2,bird,,,
bird_78,DeepSeek-V3.2,bird,,,
bird_79,DeepSeek-V3.2,bird,,,
bird_80,DeepSeek-V3.2,bird,,,
bird_81,DeepSeek-V3.2,bird,,,
bird_82,DeepSeek-V3.2,bird,,,
bird_83,DeepSeek-V3.2,bird,,,
bird_84,DeepSeek-V3.2,bird,,,
bird_85,DeepSeek-V3.2,bird,,,
bird_86,DeepSeek-V3.2,bird,,,
bird_87,DeepSeek-V3.2,bird,,,
bird_88,DeepSeek-V3.2,bird,,,
bird_89,DeepSeek-V3.2,bird,,,
bird_90,DeepSeek-V3.2,bird,,,
bird_91,DeepSeek-V3.2,bird,,,
bird_92,DeepSeek-V3.2,bird,,,
bird_93,DeepSeek-V3.2,bird,,,
bird_94,DeepSeek-V3.2,bird,,,
bird_95,DeepSeek-V3.2,bird,,,
bird_96,DeepSeek-V3.2,bird,,,
bird_97,DeepSeek-V3.2,bird,,,
bird_98,DeepSeek-V3.2,bird,,,
bird_99,DeepSeek-V3.2,bird,,,
bird_100,DeepSeek-V3.2,bird,,,
bird_101,DeepSeek-V3.2,bird,,,
bird_102,DeepSeek-V3.2,bird,,,
bird_103,DeepSeek-V3.2,bird,,,
bird_104,DeepSeek-V3.2,bird,,,
bird_105,DeepSeek-V3.2,bird,,,
bird_106,DeepSeek-V3.2,bird,,,
bird_107,DeepSeek-V3.2,bird,,,
bird_108,DeepSeek-V3.2,bird,,,
bird_109,DeepSeek-V3.2,bird,,,
bird_110,DeepSeek-V3.2,bird,,,
bird_111,DeepSeek-V3.2,bird,,,
bird_112,DeepSeek-V3.2,bird,,,
bird_113,DeepSeek-V3.2,bird,,,
bird_114,DeepSeek-V3.2,bird,,,
bird_115,DeepSeek-V3.2,bird,,,
bird_116,DeepSeek-V3.2,bird,,,
bird_117,DeepSeek-V3.2,bird,,,
bird_118,DeepSeek-V3.2,bird,,,
bird_119,DeepSeek-V3.2,bird,,,
bird_120,DeepSeek-V3.2,bird,,,
bird_121,DeepSeek-V3.2,bird,,,
bird_122,DeepSeek-V3.2,bird,,,
bird_123,DeepSeek-V3.2,bird,,,
bird_124,DeepSeek-V3.2,bird,,,
bird_125,DeepSeek-V3.2,bird,,,
bird_126,DeepSeek-V3.2,bird,,,
bird_127,DeepSeek-V3.2,bird,,,
bird_128,DeepSeek-V3.2,bird,,,
bird_129,DeepSeek-V3.2,bird,,,
bird_130,DeepSeek-V3.2,bird,,,
bird_131,DeepSeek-V3.2,bird,,,
bird_132,DeepSeek-V3.2,bird,,,
bird_133,DeepSeek-V3.2,bird,,,
bird_134,DeepSeek-V3.2,bird,,,
bird_135,DeepSeek-V3.2,bird,,,
bird_136,DeepSeek-V3.2,bird,,,
bird_137,DeepSeek-V3.2,bird,,,
bird_138,DeepSeek-V3.2,bird,,,
bird_139,DeepSeek-V3.2,bird,,,
bird_140,DeepSeek-V3.2,bird,,,
bird_141,DeepSeek-V3.2,bird,,,
bird_142,DeepSeek-V3.2,bird,,,
bird_143,DeepSeek-V3.2,bird,,,
bird_144,DeepSeek-V3.2,bird,,,
bird_145,DeepSeek-V3.2,bird,,,
bird_146,DeepSeek-V3.2,bird,,,
bird_147,DeepSeek-V3.2,bird,,,
bird_148,DeepSeek-V3.2,bird,,,
bird_149,DeepSeek-V3.2,bird,,,
bird_150,DeepSeek-V3.2,bird,,,
bird_151,DeepSeek-V3.2,bird,,,
bird_152,DeepSeek-V3.2,bird,,,
bird_153,DeepSeek-V3.2,bird,,,
bird_154,DeepSeek-V3.2,bird,,,
bird_155,DeepSeek-V3.2,bird,,,
bird_156,DeepSeek-V3.2,bird,,,
bird_157,DeepSeek-V3.2,bird,,,
bird_158,DeepSeek-V3.2,bird,,,
bird_159,DeepSeek-V3.2,bird,,,
bird_160,DeepSeek-V3.2,bird,,,
bird_161,DeepSeek-V3.2,bird,,,
bird_162,DeepSeek-V3.2,bird,,,
bird_163,DeepSeek-V3.2,bird,,,
bird_164,DeepSeek-V3.2,bird,,,
bird_165,DeepSeek-V3.2,bird,,,
bird_166,DeepSeek-V3.2,bird,,,
bird_167,DeepSeek-V3.2,bird,,,
bird_168,DeepSeek-V3.2,bird,,,
bird_169,DeepSeek-V3.2,bird,,,
bird_170,DeepSeek-V3.2,bird,,,
bird_171,DeepSeek-V3.2,bird,,,
bird_172,DeepSeek-V3.2,bird,,,
bird_173,DeepSeek-V3.2,bird,,,
bird_174,DeepSeek-V3.2,bird,,,
bird_175,DeepSeek-V3.2,bird,,,
bird_176,DeepSeek-V3.2,bird,,,
bird_177,DeepSeek-V3.2,bird,,,
bird_178,DeepSeek-V3.2,bird,,,
bird_179,DeepSeek-V3.2,bird,,,
bird_180,DeepSeek-V3.2,bird,,,
bird_181,DeepSeek-V3.2,bird,,,
bird_182,DeepSeek-V3.2,bird,,,
bird_183,DeepSeek-V3.2,bird,,,
bird_184,DeepSeek-V3.2,bird,,,
bird_185,DeepSeek-V3.2,bird,,,
bird_186,DeepSeek-V3.2,bird,,,
bird_187,DeepSeek-V3.2,bird,,,
bird_188,DeepSeek-V3.2,bird,,,
bird_189,DeepSeek-V3.2,bird,,,
bird_190,DeepSeek-V3.2,bird,,,
bird_191,DeepSeek-V3.2,bird,,,
bird_192,DeepSeek-V3.2,bird,,,
bird_193,DeepSeek-V3.2,bird,,,
bird_194,DeepSeek-V3.2,bird,,,
bird_195,DeepSeek-V3.2,bird,,,
bird_196,DeepSeek-V3.2,bird,,,
bird_197,DeepSeek-V3.2,bird,,,
bird_198,DeepSeek-V3.2,bird,,,
bird_199,DeepSeek-V3.2,bird,,,
bird_200,DeepSeek-V3.2,bird,,,
bird_201,DeepSeek-V3.2,bird,,,
bird_202,DeepSeek-V3.2,bird,,,
bird_203,DeepSeek-V3.2,bird,,,
bird_204,DeepSeek-V3.2,bird,,,
bird_205,DeepSeek-V3.2,bird,,,
bird_206,DeepSeek-V3.2,bird,,,
bird_207,DeepSeek-V3.2,bird,,,
bird_208,DeepSeek-V3.2,bird,,,
bird_209,DeepSeek-V3.2,bird,,,
bird_210,DeepSeek-V3.2,bird,,,
bird_211,DeepSeek-V3.2,bird,,,
bird_212,DeepSeek-V3.2,bird,,,
bird_213,DeepSeek-V3.2,bird,,,
bird_214,DeepSeek-V3.2,bird,,,
bird_215,DeepSeek-V3.2,bird,,,
bird_216,DeepSeek-V3.2,bird,,,
bird_217,DeepSeek-V3.2,bird,,,
bird_218,DeepSeek-V3.2,bird,,,
bird_219,DeepSeek-V3.2,bird,,,
bird_220,DeepSeek-V3.2,bird,,,
bird_221,DeepSeek-V3.2,bird,,,
bird_222,DeepSeek-V3.2,bird,,,
bird_223,DeepSeek-V3.2,bird,,,
bird_224,DeepSeek-V3.2,bird,,,
bird_225,DeepSeek-V3.2,bird,,,
bird_226,DeepSeek-V3.2,bird,,,
bird_227,DeepSeek-V3.2,bird,,,
bird_228,DeepSeek-V3.2,bird,,,
bird_229,DeepSeek-V3.2,bird,,,
bird_230,DeepSeek-V3.2,bird,,,
bird_231,DeepSeek-V3.2,bird,,,
bird_232,DeepSeek-V3.2,bird,,,
bird_233,DeepSeek-V3.2,bird,,,
bird_234,DeepSeek-V3.2,bird,,,
bird_235,DeepSeek-V3.2,bird,,,
bird_236,DeepSeek-V3.2,bird,,,
bird_237,DeepSeek-V3.2,bird,,,
bird_238,DeepSeek-V3.2,bird,,,
bird_239,DeepSeek-V3.2,bird,,,
bird_240,DeepSeek-V3.2,bird,,,
bird_241,DeepSeek-V3.2,bird,,,
bird_242,DeepSeek-V3.2,bird,,,
bird_243,DeepSeek-V3.2,bird,,,
bird_244,DeepSeek-V3.2,bird,,,
bird_245,DeepSeek-V3.2,bird,,,
bird_246,DeepSeek-V3.2,bird,,,
bird_247,DeepSeek-V3.2,bird,,,
bird_248,DeepSeek-V3.2,bird,,,
bird_249,DeepSeek-V3.2,bird,,,
bird_250,DeepSeek-V3.2,bird,,,
bird_251,DeepSeek-V3.2,bird,,,
bird_252,DeepSeek-V3.2,bird,,,
bird_253,DeepSeek-V3.2,bird,,,
bird_254,DeepSeek-V3.2,bird,,,
bird_255,DeepSeek-V3.2,bird,,,
bird_256,DeepSeek-V3.2,bird,,,
bird_257,DeepSeek-V3.2,bird,,,
bird_258,DeepSeek-V3.2,bird,,,
bird_259,DeepSeek-V3.2,bird,,,
bird_260,DeepSeek-V3.2,bird,,,
bird_261,DeepSeek-V3.2,bird,,,
bird_262,DeepSeek-V3.2,bird,,,
bird_263,DeepSeek-V3.2,bird,,,
bird_264,DeepSeek-V3.2,bird,,,
bird_265,DeepSeek-V3.2,bird,,,
bird_266,DeepSeek-V3.2,bird,,,
bird_267,DeepSeek-V3.2,bird,,,
bird_268,DeepSeek-V3.2,bird,,,
bird_269,DeepSeek-V3.2,bird,,,
bird_270,DeepSeek-V3.2,bird,,,
bird_271,DeepSeek-V3.2,bird,,,
bird_272,DeepSeek-V3.2,bird,,,
bird_273,DeepSeek-V3.2,bird,,,
bird_274,DeepSeek-V3.2,bird,,,
bird_275,DeepSeek-V3.2,bird,,,
bird_276,DeepSeek-V3.2,bird,,,
bird_277,DeepSeek-V3.2,bird,,,
bird_278,DeepSeek-V3.2,bird,,,
bird_279,DeepSeek-V3.2,bird,,,
bird_280,DeepSeek-V3.2,bird,,,
bird_281,DeepSeek-V3.2,bird,,,
bird_282,DeepSeek-V3.2,bird,,,
bird_283,DeepSeek-V3.2,bird,,,
bird_284,DeepSeek-V3.2,bird,,,
bird_285,DeepSeek-V3.2,bird,,,
bird_286,DeepSeek-V3.2,bird,,,
bird_287,DeepSeek-V3.2,bird,,,
bird_288,DeepSeek-V3.2,bird,,,
bird_289,DeepSeek-V3.2,bird,,,
bird_290,DeepSeek-V3.2,bird,,,
bird_291,DeepSeek-V3.2,bird,,,
bird_292,DeepSeek-V3.2,bird,,,
bird_293,DeepSeek-V3.2,bird,,,
bird_294,DeepSeek-V3.2,bird,,,
bird_295,DeepSeek-V3.2,bird,,,
bird_296,DeepSeek-V3.2,bird,,,
bird_297,DeepSeek-V3.2,bird,,,
bird_298,DeepSeek-V3.2,bird,,,
bird_299,DeepSeek-V3.2,bird,,,
bird_300,DeepSeek-V3.2,bird,,,
bird_301,DeepSeek-V3.2,bird,,,
bird_302,DeepSeek-V3.2,bird,,,
bird_303,DeepSeek-V3.2,bird,,,
bird_304,DeepSeek-V3.2,bird,,,
bird_305,DeepSeek-V3.2,bird,,,
bird_306,DeepSeek-V3.2,bird,,,
bird_307,DeepSeek-V3.2,bird,,,
bird_308,DeepSeek-V3.2,bird,,,
bird_309,DeepSeek-V3.2,bird,,,
bird_310,DeepSeek-V3.2,bird,,,
bird_311,DeepSeek-V3.2,bird,,,
bird_312,DeepSeek-V3.2,bird,,,
bird_313,DeepSeek-V3.2,bird,,,
bird_314,DeepSeek-V3.2,bird,,,
bird_315,DeepSeek-V3.2,bird,,,
bird_316,DeepSeek-V3.2,bird,,,
bird_317,DeepSeek-V3.2,bird,,,
bird_318,DeepSeek-V3.2,bird,,,
bird_319,DeepSeek-V3.2,bird,,,
bird_320,DeepSeek-V3.2,bird,,,
bird_321,DeepSeek-V3.2,bird,,,
bird_322,DeepSeek-V3.2,bird,,,
bird_323,DeepSeek-V3.2,bird,,,
bird_324,DeepSeek-V3.2,bird,,,
bird_325,DeepSeek-V3.2,bird,,,
bird_326,DeepSeek-V3.2,bird,,,
bird_327,DeepSeek-V3.2,bird,,,
bird_328,DeepSeek-V3.2,bird,,,
bird_329,DeepSeek-V3.2,bird,,,
bird_330,DeepSeek-V3.2,bird,,,
bird_331,DeepSeek-V3.2,bird,,,
bird_332,DeepSeek-V3.2,bird,,,
bird_333,DeepSeek-V3.2,bird,,,
bird_334,DeepSeek-V3.2,bird,,,
bird_335,DeepSeek-V3.2,bird,,,
bird_336,DeepSeek-V3.2,bird,,,
bird_337,DeepSeek-V3.2,bird,,,
bird_338,DeepSeek-V3.2,bird,,,
bird_339,DeepSeek-V3.2,bird,,,
bird_340,DeepSeek-V3.2,bird,,,
bird_341,DeepSeek-V3.2,bird,,,
bird_342,DeepSeek-V3.2,bird,,,
bird_343,DeepSeek-V3.2,bird,,,
bird_344,DeepSeek-V3.2,bird,,,
bird_345,DeepSeek-V3.2,bird,,,
bird_346,DeepSeek-V3.2,bird,,,
bird_347,DeepSeek-V3.2,bird,,,
bird_348,DeepSeek-V3.2,bird,,,
bird_349,DeepSeek-V3.2,bird,,,
bird_350,DeepSeek-V3.2,bird,,,
bird_351,DeepSeek-V3.2,bird,,,
bird_352,DeepSeek-V3.2,bird,,,
bird_353,DeepSeek-V3.2,bird,,,
bird_354,DeepSeek-V3.2,bird,,,
bird_355,DeepSeek-V3.2,bird,,,
bird_356,DeepSeek-V3.2,bird,,,
bird_357,DeepSeek-V3.2,bird,,,
bird_358,DeepSeek-V3.2,bird,,,
bird_359,DeepSeek-V3.2,bird,,,
bird_360,DeepSeek-V3.2,bird,,,
bird_361,DeepSeek-V3.2,bird,,,
bird_362,DeepSeek-V3.2,bird,,,
bird_363,DeepSeek-V3.2,bird,,,
bird_364,DeepSeek-V3.2,bird,,,
bird_365,DeepSeek-V3.2,bird,,,
bird_366,DeepSeek-V3.2,bird,,,
bird_367,DeepSeek-V3.2,bird,,,
bird_368,DeepSeek-V3.2,bird,,,
bird_369,DeepSeek-V3.2,bird,,,
bird_370,DeepSeek-V3.2,bird,,,
bird_371,DeepSeek-V3.2,bird,,,
bird_372,DeepSeek-V3.2,bird,,,
bird_373,DeepSeek-V3.2,bird,,,
bird_374,DeepSeek-V3.2,bird,,,
bird_375,DeepSeek-V3.2,bird,,,
bird_376,DeepSeek-V3.2,bird,,,
bird_377,DeepSeek-V3.2,bird,,,
bird_378,DeepSeek-V3.2,bird,,,
bird_379,DeepSeek-V3.2,bird,,,
bird_380,DeepSeek-V3.2,bird,,,
bird_381,DeepSeek-V3.2,bird,,,
bird_382,DeepSeek-V3.2,bird,,,
bird_383,DeepSeek-V3.2,bird,,,
bird_384,DeepSeek-V3.2,bird,,,
bird_385,DeepSeek-V3.2,bird,,,
bird_386,DeepSeek-V3.2,bird,,,
bird_387,DeepSeek-V3.2,bird,,,
bird_388,DeepSeek-V3.2,bird,,,
bird_389,DeepSeek-V3.2,bird,,,
bird_390,DeepSeek-V3.2,bird,,,
bird_391,DeepSeek-V3.2,bird,,,
bird_392,DeepSeek-V3.2,bird,,,
bird_393,DeepSeek-V3.2,bird,,,
bird_394,DeepSeek-V3.2,bird,,,
bird_395,DeepSeek-V3.2,bird,,,
bird_396,DeepSeek-V3.2,bird,,,
bird_397,DeepSeek-V3.2,bird,,,
bird_398,DeepSeek-V3.2,bird,,,
bird_399,DeepSeek-V3.2,bird,,,
bird_400,DeepSeek-V3.2,bird,,,
bird_401,DeepSeek-V3.2,bird,,,
bird_402,DeepSeek-V3.2,bird,,,
bird_403,DeepSeek-V3.2,bird,,,
bird_404,DeepSeek-V3.2,bird,,,
bird_405,DeepSeek-V3.2,bird,,,
bird_406,DeepSeek-V3.2,bird,,,
bird_407,DeepSeek-V3.2,bird,,,
bird_408,DeepSeek-V3.2,bird,,,
bird_409,DeepSeek-V3.2,bird,,,
bird_410,DeepSeek-V3.2,bird,,,
bird_411,DeepSeek-V3.2,bird,,,
bird_412,DeepSeek-V3.2,bird,,,
bird_413,DeepSeek-V3.2,bird,,,
bird_414,DeepSeek-V3.2,bird,,,
bird_415,DeepSeek-V3.2,bird,,,
bird_416,DeepSeek-V3.2,bird,,,
bird_417,DeepSeek-V3.2,bird,,,
bird_418,DeepSeek-V3.2,bird,,,
bird_419,DeepSeek-V3.2,bird,,,
bird_420,DeepSeek-V3.2,bird,,,
bird_421,DeepSeek-V3.2,bird,,,
bird_422,DeepSeek-V3.2,bird,,,
bird_423,DeepSeek-V3.2,bird,,,
bird_424,DeepSeek-V3.2,bird,,,
bird_425,DeepSeek-V3.2,bird,,,
bird_426,DeepSeek-V3.2,bird,,,
bird_427,DeepSeek-V3.2,bird,,,
bird_428,DeepSeek-V3.2,bird,,,
bird_429,DeepSeek-V3.2,bird,,,
bird_430,DeepSeek-V3.2,bird,,,
bird_431,DeepSeek-V3.2,bird,,,
bird_432,DeepSeek-V3.2,bird,,,
bird_433,DeepSeek-V3.2,bird,,,
bird_434,DeepSeek-V3.2,bird,,,
bird_435,DeepSeek-V3.2,bird,,,
bird_436,DeepSeek-V3.2,bird,,,
bird_437,DeepSeek-V3.2,bird,,,
bird_438,DeepSeek-V3.2,bird,,,
bird_439,DeepSeek-V3.2,bird,,,
bird_440,DeepSeek-V3.2,bird,,,
bird_441,DeepSeek-V3.2,bird,,,
bird_442,DeepSeek-V3.2,bird,,,
bird_443,DeepSeek-V3.2,bird,,,
bird_444,DeepSeek-V3.2,bird,,,
bird_445,DeepSeek-V3.2,bird,,,
bird_446,DeepSeek-V3.2,bird,,,
bird_447,DeepSeek-V3.2,bird,,,
bird_448,DeepSeek-V3.2,bird,,,
bird_449,DeepSeek-V3.2,bird,,,
bird_450,DeepSeek-V3.2,bird,,,
bird_451,DeepSeek-V3.2,bird,,,
bird_452,DeepSeek-V3.2,bird,,,
bird_453,DeepSeek-V3.2,bird,,,
bird_454,DeepSeek-V3.2,bird,,,
bird_455,DeepSeek-V3.2,bird,,,
bird_456,DeepSeek-V3.2,bird,,,
bird_457,DeepSeek-V3.2,bird,,,
bird_458,DeepSeek-V3.2,bird,,,
bird_459,DeepSeek-V3.2,bird,,,
bird_460,DeepSeek-V3.2,bird,,,
bird_461,DeepSeek-V3.2,bird,,,
bird_462,DeepSeek-V3.2,bird,,,
bird_463,DeepSeek-V3.2,bird,,,
bird_464,DeepSeek-V3.2,bird,,,
bird_465,DeepSeek-V3.2,bird,,,
bird_466,DeepSeek-V3.2,bird,,,
bird_467,DeepSeek-V3.2,bird,,,
bird_468,DeepSeek-V3.2,bird,,,
bird_469,DeepSeek-V3.2,bird,,,
bird_470,DeepSeek-V3.2,bird,,,
bird_471,DeepSeek-V3.2,bird,,,
bird_472,DeepSeek-V3.2,bird,,,
bird_473,DeepSeek-V3.2,bird,,,
bird_474,DeepSeek-V3.2,bird,,,
bird_475,DeepSeek-V3.2,bird,,,
bird_476,DeepSeek-V3.2,bird,,,
bird_477,DeepSeek-V3.2,bird,,,
bird_478,DeepSeek-V3.2,bird,,,
bird_479,DeepSeek-V3.2,bird,,,
bird_480,DeepSeek-V3.2,bird,,,
bird_481,DeepSeek-V3.2,bird,,,
bird_482,DeepSeek-V3.2,bird,,,
bird_483,DeepSeek-V3.2,bird,,,
bird_484,DeepSeek-V3.2,bird,,,
bird_485,DeepSeek-V3.2,bird,,,
bird_486,DeepSeek-V3.2,bird,,,
bird_487,DeepSeek-V3.2,bird,,,
bird_488,DeepSeek-V3.2,bird,,,
bird_489,DeepSeek-V3.2,bird,,,
bird_490,DeepSeek-V3.2,bird,,,
bird_491,DeepSeek-V3.2,bird,,,
bird_492,DeepSeek-V3.2,bird,,,
bird_493,DeepSeek-V3.2,bird,,,
bird_494,DeepSeek-V3.2,bird,,,
bird_495,DeepSeek-V3.2,bird,,,
bird_496,DeepSeek-V3.2,bird,,,
bird_497,DeepSeek-V3.2,bird,,,
bird_498,DeepSeek-V3.2,bird,,,
bird_499,DeepSeek-V3.2,bird,,,
bird_500,DeepSeek-V3.2,bird,,,
bird_501,DeepSeek-V3.2,bird,,,
bird_502,DeepSeek-V3.2,bird,,,
bird_503,DeepSeek-V3.2,bird,,,
bird_504,DeepSeek-V3.2,bird,,,
bird_505,DeepSeek-V3.2,bird,,,
bird_506,DeepSeek-V3.2,bird,,,
bird_507,DeepSeek-V3.2,bird,,,
bird_508,DeepSeek-V3.2,bird,,,
bird_509,DeepSeek-V3.2,bird,,,
bird_510,DeepSeek-V3.2,bird,,,
bird_511,DeepSeek-V3.2,bird,,,
bird_512,DeepSeek-V3.2,bird,,,
bird_513,DeepSeek-V3.2,bird,,,
bird_514,DeepSeek-V3.2,bird,,,
bird_515,DeepSeek-V3.2,bird,,,
bird_516,DeepSeek-V3.2,bird,,,
bird_517,DeepSeek-V3.2,bird,,,
bird_518,DeepSeek-V3.2,bird,,,
bird_519,DeepSeek-V3.2,bird,,,
bird_520,DeepSeek-V3.2,bird,,,
bird_521,DeepSeek-V3.2,bird,,,
bird_522,DeepSeek-V3.2,bird,,,
bird_523,DeepSeek-V3.2,bird,,,
bird_524,DeepSeek-V3.2,bird,,,
bird_525,DeepSeek-V3.2,bird,,,
bird_526,DeepSeek-V3.2,bird,,,
bird_527,DeepSeek-V3.2,bird,,,
bird_528,DeepSeek-V3.2,bird,,,
bird_529,DeepSeek-V3.2,bird,,,
bird_530,DeepSeek-V3.2,bird,,,
bird_531,DeepSeek-V3.2,bird,,,
bird_532,DeepSeek-V3.2,bird,,,
bird_533,DeepSeek-V3.2,bird,,,
bird_534,DeepSeek-V3.2,bird,,,
bird_535,DeepSeek-V3.2,bird,,,
bird_536,DeepSeek-V3.2,bird,,,
bird_537,DeepSeek-V3.2,bird,,,
bird_538,DeepSeek-V3.2,bird,,,
bird_539,DeepSeek-V3.2,bird,,,
bird_540,DeepSeek-V3.2,bird,,,
bird_541,DeepSeek-V3.2,bird,,,
bird_542,DeepSeek-V3.2,bird,,,
bird_543,DeepSeek-V3.2,bird,,,
bird_544,DeepSeek-V3.2,bird,,,
bird_545,DeepSeek-V3.2,bird,,,
bird_546,DeepSeek-V3.2,bird,,,
bird_547,DeepSeek-V3.2,bird,,,
bird_548,DeepSeek-V3.2,bird,,,
bird_549,DeepSeek-V3.2,bird,,,
bird_550,DeepSeek-V3.2,bird,,,
bird_551,DeepSeek-V3.2,bird,,,
bird_552,DeepSeek-V3.2,bird,,,
bird_553,DeepSeek-V3.2,bird,,,
bird_554,DeepSeek-V3.2,bird,,,
bird_555,DeepSeek-V3.2,bird,,,
bird_556,DeepSeek-V3.2,bird,,,
bird_557,DeepSeek-V3.2,bird,,,
bird_558,DeepSeek-V3.2,bird,,,
bird_559,DeepSeek-V3.2,bird,,,
bird_560,DeepSeek-V3.2,bird,,,
bird_561,DeepSeek-V3.2,bird,,,
bird_562,DeepSeek-V3.2,bird,,,
bird_563,DeepSeek-V3.2,bird,,,
bird_564,DeepSeek-V3.2,bird,,,
bird_565,DeepSeek-V3.2,bird,,,
bird_566,DeepSeek-V3.2,bird,,,
bird_567,DeepSeek-V3.2,bird,,,
bird_568,DeepSeek-V3.2,bird,,,
bird_569,DeepSeek-V3.2,bird,,,
bird_570,DeepSeek-V3.2,bird,,,
bird_571,DeepSeek-V3.2,bird,,,
bird_572,DeepSeek-V3.2,bird,,,
bird_573,DeepSeek-V3.2,bird,,,
bird_574,DeepSeek-V3.2,bird,,,
bird_575,DeepSeek-V3.2,bird,,,
bird_576,DeepSeek-V3.2,bird,,,
bird_577,DeepSeek-V3.2,bird,,,
bird_578,DeepSeek-V3.2,bird,,,
bird_579,DeepSeek-V3.2,bird,,,
bird_580,DeepSeek-V3.2,bird,,,
bird_581,DeepSeek-V3.2,bird,,,
bird_582,DeepSeek-V3.2,bird,,,
bird_583,DeepSeek-V3.2,bird,,,
bird_584,DeepSeek-V3.2,bird,,,
bird_585,DeepSeek-V3.2,bird,,,
bird_586,DeepSeek-V3.2,bird,,,
bird_587,DeepSeek-V3.2,bird,,,
bird_588,DeepSeek-V3.2,bird,,,
bird_589,DeepSeek-V3.2,bird,,,
bird_590,DeepSeek-V3.2,bird,,,
bird_591,DeepSeek-V3.2,bird,,,
bird_592,DeepSeek-V3.2,bird,,,
bird_593,DeepSeek-V3.2,bird,,,
bird_594,DeepSeek-V3.2,bird,,,
bird_595,DeepSeek-V3.2,bird,,,
bird_596,DeepSeek-V3.2,bird,,,
bird_597,DeepSeek-V3.2,bird,,,
bird_598,DeepSeek-V3.2,bird,,,
bird_599,DeepSeek-V3.2,bird,,,
bird_600,DeepSeek-V3.2,bird,,,
bird_601,DeepSeek-V3.2,bird,,,
bird_602,DeepSeek-V3.2,bird,,,
bird_603,DeepSeek-V3.2,bird,,,
bird_604,DeepSeek-V3.2,bird,,,
bird_605,DeepSeek-V3.2,bird,,,
